cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
210,ISSUE,0,4,LD,1,3,None,4,""
210,COMPLETE,0,1,LD,1,-1,-1,0,""
211,ISSUE,0,5,LD,1,3,None,4,""
211,COMPLETE,0,2,ALU,0,-1,-1,0,""
212,ISSUE,0,6,LD,1,3,None,4,""
212,COMPLETE,0,3,ALU,0,-1,-1,0,""
213,ISSUE,0,7,LD,1,3,None,4,""
213,COMPLETE,0,4,ALU,0,-1,-1,0,""
214,ISSUE,0,0,LD,2,4,None,4,""
215,ISSUE,0,1,LD,2,4,None,4,""
216,ISSUE,0,2,LD,2,4,None,4,""
217,ISSUE,0,5,LD,2,4,None,4,""
218,ISSUE,0,6,LD,2,4,None,4,""
219,ISSUE,0,7,LD,2,4,None,4,""
220,ISSUE,0,0,FFMA,0,1,2,4,""
221,ISSUE,0,1,FFMA,0,1,2,4,""
222,ISSUE,0,2,FFMA,0,1,2,4,""
223,ISSUE,0,5,FFMA,0,1,2,4,""
224,ISSUE,0,6,FFMA,0,1,2,4,""
225,ISSUE,0,7,FFMA,0,1,2,4,""
225,COMPLETE,0,5,ALU,0,-1,-1,0,""
226,ISSUE,0,0,LD,1,3,None,4,""
226,COMPLETE,0,6,ALU,0,-1,-1,0,""
227,ISSUE,0,1,LD,1,3,None,4,""
227,COMPLETE,0,7,ALU,0,-1,-1,0,""
228,ISSUE,0,2,LD,1,3,None,4,""
229,ISSUE,0,5,LD,1,3,None,4,""
229,COMPLETE,0,0,ALU,0,-1,-1,0,""
230,ISSUE,0,6,LD,1,3,None,4,""
230,COMPLETE,0,1,ALU,0,-1,-1,0,""
231,ISSUE,0,7,LD,1,3,None,4,""
231,COMPLETE,0,2,ALU,0,-1,-1,0,""
232,ISSUE,0,0,LD,2,4,None,4,""
233,ISSUE,0,1,LD,2,4,None,4,""
234,ISSUE,0,2,LD,2,4,None,4,""
235,ISSUE,0,5,LD,2,4,None,4,""
236,ISSUE,0,6,LD,2,4,None,4,""
237,ISSUE,0,7,LD,2,4,None,4,""
238,ISSUE,0,0,FFMA,0,1,2,4,""
239,ISSUE,0,1,FFMA,0,1,2,4,""
240,ISSUE,0,2,FFMA,0,1,2,4,""
241,ISSUE,0,5,FFMA,0,1,2,4,""
242,ISSUE,0,6,FFMA,0,1,2,4,""
243,ISSUE,0,7,FFMA,0,1,2,4,""
